FID,ICEAREA,H,class_height,class_length
250,93.99067271,3.187944089,Bergy bit,Bergy bit
251,312.9533581,3.334458789,Bergy bit,Small
252,64.12515551,2.976168206,Bergy bit,Bergy bit
253,1966.433144,3.528682202,Bergy bit,Small
254,902.6086754,3.340235378,Bergy bit,Small
255,10371.34548,6.536034257,Small,Medium
256,53.9999401,2.986253651,Bergy bit,Bergy bit
257,5457.119342,7.710024457,Small,Medium
258,4227.147983,8.404884109,Small,Medium
259,78002.59282,34.60695354,Medium,Very large
260,1052.817338,4.381245193,Bergy bit,Small
261,33.57205355,2.9764624,Bergy bit,Bergy bit
262,40.53430378,3.438647543,Bergy bit,Bergy bit
263,2058.066634,4.818386984,Bergy bit,Small
264,37801.02313,22.60011901,Medium,Large
265,286.327413,3.410923148,Bergy bit,Small
266,420.9674295,4.327962403,Bergy bit,Small
267,220.704957,4.186655475,Bergy bit,Bergy bit
268,6306.485629,11.8008706,Small,Medium
269,38.77034187,3.367900561,Bergy bit,Bergy bit
270,3060.669537,5.80172997,Small,Small
271,3427.035777,5.202710935,Small,Small
272,870.2813319,4.277269453,Bergy bit,Small
273,35.33785272,2.645851324,Bergy bit,Bergy bit
274,155.3938601,3.008298045,Bergy bit,Bergy bit
275,189.9840347,6.035563113,Small,Bergy bit
276,5071.111102,5.954673472,Small,Medium
277,130.0261785,3.525800807,Bergy bit,Bergy bit
278,4149.413118,6.067674151,Small,Medium
279,26181.24346,18.88936153,Medium,Large
280,761.5913867,4.102475501,Bergy bit,Small
281,1360.757879,3.605435563,Bergy bit,Small
282,5499.837785,4.442303411,Bergy bit,Medium
283,72.81709063,2.763209935,Bergy bit,Bergy bit
284,638.6797513,2.450030872,Bergy bit,Small
285,289.936389,3.385331853,Bergy bit,Small
286,931.5101863,3.455079691,Bergy bit,Small
287,687.9947786,3.525146304,Bergy bit,Small
288,189.6818489,3.359378301,Bergy bit,Bergy bit
289,1348.862552,4.470251458,Bergy bit,Small
290,16608.1869,11.25136736,Small,Large
291,22007.86732,12.0351269,Small,Large
292,200.6964128,2.920899653,Bergy bit,Bergy bit
293,102.8023437,2.988299869,Bergy bit,Bergy bit
294,8054.534167,9.230611699,Small,Medium
295,21077.38149,10.77526867,Small,Large
296,1404.404556,3.852831192,Bergy bit,Small
297,444.0413474,3.893133275,Bergy bit,Small
298,1307.000283,5.53761784,Small,Small
299,1439.936567,7.161691631,Small,Small
300,268.8596238,3.106053251,Bergy bit,Small
301,729.1537327,5.140101196,Small,Small
302,1760.243694,6.425892963,Small,Small
303,3853.280141,5.812158587,Small,Medium
304,210.900576,2.904626707,Bergy bit,Bergy bit
305,69.23812759,2.740434183,Bergy bit,Bergy bit
306,3620.152249,5.133163608,Small,Medium
307,1772.1917,3.82553931,Bergy bit,Small
308,2004.244998,4.118730007,Bergy bit,Small
309,1662.632771,3.751591188,Bergy bit,Small
310,373.7744485,3.53283299,Bergy bit,Small
311,4019.131116,6.663375886,Small,Medium
312,1580.53593,3.631403773,Bergy bit,Small
313,4472.686262,9.175150283,Small,Medium
314,3194.843674,6.424422711,Small,Small
315,1947.31078,6.018046963,Small,Small
316,64048.25455,27.82556922,Medium,Very large
317,122.3941954,3.302293535,Bergy bit,Bergy bit
318,882.8508592,4.522837038,Bergy bit,Small
319,3174.493551,7.298272936,Small,Small
320,820.9237587,3.723262153,Bergy bit,Small
321,3693.581444,7.323864335,Small,Medium
322,905.2819735,1.967351411,Bergy bit,Small
323,17902.75565,12.42629777,Small,Large
324,1294.215329,5.524339712,Small,Small
325,5535.548001,4.366591938,Bergy bit,Medium
326,1460.725836,5.375845169,Small,Small
327,12218.84668,11.31310524,Small,Medium
328,4607.586259,5.883265483,Small,Medium
329,232.0565161,3.712975752,Bergy bit,Small
330,61.75546944,2.86472617,Bergy bit,Bergy bit
331,2497.741944,4.443139021,Bergy bit,Small
332,578.2324766,4.209703698,Bergy bit,Small
333,10052.8026,5.515752169,Small,Medium
334,2861.150606,6.135590339,Small,Small
335,16702.46544,8.915332225,Small,Large
336,501.0259011,3.55603553,Bergy bit,Small
337,3118.726764,5.901230023,Small,Small
338,7282.849892,6.566946571,Small,Medium
339,5077.719592,7.770530865,Small,Medium
340,1277.552373,4.300158987,Bergy bit,Small
341,3524.381307,5.694063919,Small,Small
342,491.2531041,3.741798657,Bergy bit,Small
343,683.8874821,4.178191778,Bergy bit,Small
344,113.5460086,3.952066428,Bergy bit,Bergy bit
345,1368.286066,4.0968428,Bergy bit,Small
346,197.6976023,3.755337686,Bergy bit,Bergy bit
347,4963.013926,6.127829061,Small,Medium
348,4532.951045,6.083910222,Small,Medium
349,62.56220806,3.763830233,Bergy bit,Bergy bit
350,2406.530011,4.639036635,Bergy bit,Small
351,1227.774907,3.747121245,Bergy bit,Small
352,4895.463839,5.564500094,Small,Medium
353,2319.885718,5.918971881,Small,Small
354,3743.641935,8.819059096,Small,Medium
355,258.0049644,3.17915737,Bergy bit,Small
356,649.6438265,3.865287276,Bergy bit,Small
357,2735.183699,7.147774784,Small,Small
358,2527.795683,6.803581777,Small,Small
359,2656.705656,6.107347459,Small,Small
360,51.79787815,2.900996337,Bergy bit,Bergy bit
361,2982.084282,6.39464288,Small,Small
362,331300.094,47.82809064,Large,Very large
363,68.74069238,3.655777911,Bergy bit,Bergy bit
364,84742.75604,25.71411049,Medium,Very large
365,1075.079343,5.0018576,Small,Small
366,393.1796342,3.447742219,Bergy bit,Small
367,2629.379551,4.81376299,Bergy bit,Small
368,271.8208952,3.719720553,Bergy bit,Small
369,265.4878541,3.976910127,Bergy bit,Small
370,35275.77324,18.62878639,Medium,Large
371,288.5097878,3.954646544,Bergy bit,Small
372,278.9038963,3.148952713,Bergy bit,Small
373,411.7225274,4.297774487,Bergy bit,Small
374,175.6431581,4.562952526,Bergy bit,Bergy bit
375,1194.51177,2.669990349,Bergy bit,Small
376,12524.86627,8.735357515,Small,Medium
377,3958.377645,6.906240265,Small,Medium
378,1001.527614,2.622751356,Bergy bit,Small
379,1024.607471,3.810534553,Bergy bit,Small
380,296.0888925,3.720980349,Bergy bit,Small
381,20077.59328,8.058755612,Small,Large
382,294.1009116,3.021299327,Bergy bit,Small
383,1520.717912,4.9655396,Bergy bit,Small
384,48.67285061,2.834094114,Bergy bit,Bergy bit
385,4413.898705,6.040283025,Small,Medium
386,654.1663238,2.861203819,Bergy bit,Small
387,54.56649065,3.618545504,Bergy bit,Bergy bit
388,20440.16078,11.49834555,Small,Large
389,192.2173703,3.12964397,Bergy bit,Bergy bit
390,4590.8827,7.845980344,Small,Medium
391,85.018116,4.655934821,Bergy bit,Bergy bit
392,1099.18181,5.566276254,Small,Small
393,161.3081328,3.052340236,Bergy bit,Bergy bit
394,7698.789529,12.54241166,Small,Medium
395,1667.708911,2.515210581,Bergy bit,Small
396,7091.129255,11.69663159,Small,Medium
397,574.9381502,4.465209182,Bergy bit,Small
398,7727.955968,10.53815495,Small,Medium
399,38.34065139,2.781896562,Bergy bit,Bergy bit
400,111.6635485,6.006464256,Small,Bergy bit
401,843.393499,4.830516584,Bergy bit,Small
402,10321.13656,14.23914519,Small,Medium
403,61.52835321,2.622704586,Bergy bit,Bergy bit
404,133.1489037,3.577640896,Bergy bit,Bergy bit
405,86.40404689,3.724014979,Bergy bit,Bergy bit
406,33.32377899,3.001376378,Bergy bit,Bergy bit
407,324.4952481,3.278773988,Bergy bit,Small
408,4010.631354,4.245106772,Bergy bit,Medium
409,208.7328157,4.036916457,Bergy bit,Bergy bit
410,3303.366632,5.28476149,Small,Small
411,466.9145223,4.123889079,Bergy bit,Small
412,2411.399293,4.37454781,Bergy bit,Small
413,784.873394,4.82443055,Bergy bit,Small
414,1121.171063,4.339365547,Bergy bit,Small
415,471.2862742,4.930787538,Bergy bit,Small
416,1168.954258,6.710556191,Small,Small
417,63.58790112,3.681202912,Bergy bit,Bergy bit
418,46.784145,2.989714971,Bergy bit,Bergy bit
419,6145.684743,5.154807286,Small,Medium
420,1110.044727,6.18181358,Small,Small
421,2888.158191,7.73905091,Small,Small
